match_id,game_duration,game_mode,t100_kills,t100_deaths,t100_assists,t100_gold,t100_damage,t100_cs,t100_vision,t100_wardsPlaced,t100_wardsKilled,t100_controlWards,t100_towers,t100_dragons,t100_herald,t100_barons,t100_phdmg,t100_mgdmg,t100_trdmg,t100_goldpermin,t100_inhibitors,t200_kills,t200_deaths,t200_assists,t200_gold,t200_damage,t200_cs,t200_vision,t200_wardsPlaced,t200_wardsKilled,t200_controlWards,t200_towers,t200_dragons,t200_barons,t200_herald,t200_phdmg,t200_mgdmg,t200_trdmg,t200_goldpermin,t200_inhibitors,team_100_win
NA1_5481605254,2641,CLASSIC,32,42,39,95958,158646,1524,326,107,46,0,11,5,0,1,111260,26793,20587,2180.037864445286,3,42,32,65,91926,180278,1359,335,126,46,0,3,2,2,0,79135,89278,11860,2088.436198409693,0,1
NA1_5481587554,928,CLASSIC,4,19,5,26385,36841,497,60,31,5,0,1,0,0,0,20324,16076,437,1705.926724137931,0,19,4,20,34254,48814,577,85,36,8,0,1,1,0,0,28447,19898,466,2214.698275862069,0,0
NA1_5481560702,1723,CLASSIC,41,20,85,68789,143723,855,188,74,16,0,10,1,1,0,81969,57226,4523,2395.4381892048755,2,20,41,38,56781,116466,801,158,74,14,0,1,3,0,0,72038,39241,5184,1977.2838073128266,0,1
NA1_5481547088,910,CLASSIC,4,23,4,22680,27102,415,54,30,2,0,0,0,0,0,13784,12755,560,1495.3846153846155,0,23,4,24,34381,47148,567,76,38,5,0,1,1,0,0,21021,24512,1611,2266.879120879121,0,0
NA1_5481520921,946,CLASSIC,5,13,9,27893,30859,548,71,35,6,0,1,0,0,0,23073,6621,1161,1769.1120507399576,0,13,5,15,31669,38230,571,93,40,12,0,1,2,0,0,19149,15053,4024,2008.6046511627906,0,0
NA1_5481482164,1228,CLASSIC,6,16,9,34175,45035,718,117,48,12,0,0,0,0,0,22401,21041,1592,1669.7882736156353,0,16,6,19,44516,55607,808,121,46,15,0,5,3,0,2,33853,16180,5570,2175.0488599348537,0,0
NA1_5481442088,1656,CLASSIC,28,27,43,61767,109587,875,156,66,19,0,9,3,4,1,35696,69049,4837,2237.9347826086955,2,27,28,41,57435,111482,922,154,63,15,0,4,1,0,0,56746,43612,11117,2080.978260869565,0,1
NA1_5481413410,1093,CLASSIC,14,25,19,34596,39215,575,80,35,4,0,1,2,0,0,23469,14973,768,1899.1399817017384,0,25,15,37,41630,57776,603,87,46,2,0,3,0,0,0,26511,29607,1652,2285.269899359561,0,0
NA1_5480649345,1340,CLASSIC,23,45,18,43759,61704,655,114,51,5,0,1,1,4,0,18196,39436,4068,1959.358208955224,0,44,23,42,58052,106594,778,137,51,16,0,11,2,1,0,50356,52828,3407,2599.3432835820895,2,0
NA1_5480625533,1285,CLASSIC,29,12,38,49905,70758,763,140,47,21,0,4,2,0,0,44928,23054,2770,2330.1945525291826,0,12,29,20,37014,55974,662,117,55,12,0,0,0,0,0,27155,25508,3308,1728.2801556420231,0,1
NA1_5480491307,1591,CLASSIC,28,35,45,55322,99157,757,131,43,17,0,2,0,3,0,51857,42838,4457,2086.310496543055,0,35,28,60,65645,137192,861,151,68,7,0,11,3,1,0,68766,65241,3179,2475.6128221244503,3,0
NA1_5483212717,1983,CLASSIC,47,30,74,79368,154605,1021,232,84,37,0,9,3,1,1,59003,87859,7738,2401.4523449319217,1,30,47,55,67949,112030,989,242,97,30,0,3,2,0,0,55249,49134,7641,2055.945537065053,0,1
NA1_5483181351,2255,CLASSIC,25,30,43,74208,154911,1170,320,130,39,0,6,1,1,0,84424,61969,8513,1974.492239467849,0,30,25,57,79751,142069,1208,352,107,59,0,8,4,2,0,76039,60181,5842,2121.977827050998,1,0
NA1_5480543845,1545,CLASSIC,31,12,54,56323,107121,825,155,59,18,0,6,4,0,1,55067,48809,3242,2187.3009708737864,0,12,31,22,48537,70119,804,136,56,14,0,2,0,0,0,31765,36188,2162,1884.9320388349515,0,1
NA1_5479724905,1591,CLASSIC,26,38,32,55086,81899,762,141,67,10,0,2,1,0,0,49561,21700,10635,2077.4104336895034,0,38,26,51,61474,100421,818,172,65,17,0,9,3,1,2,49295,43304,7817,2318.315524827153,1,0
NA1_5479695554,1702,CLASSIC,41,28,63,65334,134615,894,174,75,18,0,8,2,2,0,63978,53133,17501,2303.1962397179786,1,28,41,34,59138,101982,834,194,80,16,0,3,1,1,0,50668,45702,5608,2084.770857814336,0,1
NA1_5479663160,1501,CLASSIC,44,23,45,64894,114494,817,159,74,11,0,10,1,1,1,66933,40318,7236,2594.030646235843,2,23,44,24,48725,72980,732,133,52,20,0,1,1,0,0,52483,16914,3580,1947.701532311792,0,1
NA1_5479617536,1850,CLASSIC,29,45,46,60903,140697,839,210,84,27,0,2,0,0,0,72733,53246,14713,1975.2324324324325,0,45,29,98,72408,156250,970,267,89,35,0,7,4,0,0,75855,74958,5431,2348.3675675675677,1,0
NA1_5479583211,1115,CLASSIC,7,21,8,33355,38658,624,123,50,18,0,1,0,3,0,24964,10786,2902,1794.8878923766817,0,21,7,24,41345,53192,665,97,56,7,0,4,3,0,0,26649,21606,4932,2224.8430493273545,0,0
NA1_5479556472,923,CLASSIC,7,17,3,26557,29954,516,77,33,10,0,0,1,0,0,17456,11423,1071,1726.3488624052004,0,17,7,18,32480,39854,546,75,37,6,0,2,0,0,0,21724,14842,3285,2111.3759479956666,0,0
NA1_5479510832,1923,CLASSIC,21,30,33,62162,100103,905,237,71,29,0,5,3,0,1,51801,46027,2271,1939.5319812792513,0,30,21,62,71517,138348,1057,203,87,20,0,11,2,1,1,77911,43743,16688,2231.419656786272,3,0
NA1_5478871956,1343,CLASSIC,30,9,42,56687,72305,894,173,66,19,0,9,1,1,1,38107,30199,3994,2532.553983618764,2,9,30,9,40867,49096,714,141,55,19,0,0,2,0,0,22803,24281,2012,1825.7781087118392,0,1
NA1_5478848289,1806,CLASSIC,43,31,57,73064,130541,1026,179,72,23,0,8,3,0,1,63428,59095,8016,2427.3754152823917,1,31,43,46,65932,103699,935,203,76,24,0,3,1,0,3,59687,42990,1019,2190.4318936877075,0,1
NA1_5478825043,1699,CLASSIC,34,30,41,60003,110617,858,226,85,29,0,7,4,0,0,51570,45747,13295,2118.9994114184815,1,30,34,29,53019,82488,817,221,90,25,0,3,0,0,1,50463,21528,10492,1872.3602118893466,0,1
NA1_5478793109,1715,CLASSIC,44,27,69,68807,133260,931,203,70,25,0,7,3,0,1,97378,24072,11805,2407.241982507289,1,27,44,35,53252,95127,739,162,75,7,0,2,1,0,1,44954,38984,11185,1863.0437317784258,0,1
NA1_5478764816,1551,CLASSIC,27,24,28,52365,104081,820,188,72,27,0,3,2,0,0,52941,44425,6710,2025.7253384912958,0,24,27,44,56461,98948,877,181,73,26,0,7,1,1,0,48644,46757,3541,2184.1779497098646,1,0
NA1_5477970925,914,CLASSIC,34,11,31,40036,56153,514,73,36,1,0,5,1,0,0,38559,16310,1281,2628.183807439825,0,11,34,15,25567,40867,326,51,30,3,0,0,0,0,0,19665,18799,2399,1678.3588621444203,0,1
NA1_5483617601,1600,CLASSIC,33,14,31,62288,102159,952,166,69,20,0,9,2,2,1,54086,41530,6538,2335.7999999999997,2,14,34,23,51647,95069,925,171,73,19,0,1,1,0,0,27905,57967,9191,1936.7624999999998,0,1
NA1_5483563239,2239,CLASSIC,26,43,41,78904,122835,1200,266,112,25,0,6,3,0,0,49959,64647,8224,2114.443948191157,0,43,26,60,83200,184295,1093,314,84,34,0,9,3,3,3,99994,78833,5464,2229.566770879857,1,0
NA1_5483539858,1320,CLASSIC,30,12,55,54722,83627,802,170,74,16,0,7,1,3,0,48001,30561,5061,2487.3636363636365,1,12,30,17,39061,53694,607,138,56,16,0,0,1,0,0,26683,23557,3449,1775.5,0,1
NA1_5483518769,1540,CLASSIC,26,16,53,58090,93929,854,139,49,10,0,10,1,2,0,62290,27575,4059,2263.246753246753,2,16,26,23,48904,82317,837,106,45,9,0,3,3,0,0,54820,24862,2630,1905.3506493506493,0,1
NA1_5483500845,1125,CLASSIC,7,15,13,31314,43347,586,96,40,7,0,0,0,0,0,16802,23405,3136,1670.08,0,15,7,21,40475,50845,656,89,36,6,0,4,3,0,3,29205,19871,1765,2158.6666666666665,0,0
NA1_5483476811,1562,CLASSIC,15,29,21,49287,86149,837,146,56,13,0,1,1,0,0,29510,55527,1109,1893.226632522407,0,29,15,48,61249,96628,865,145,60,10,0,11,2,1,3,48260,37800,10565,2352.7144686299616,3,0
NA1_5483457212,1193,CLASSIC,25,8,23,46012,54887,763,127,52,12,0,6,2,1,0,28334,23738,2812,2314.0989103101424,0,8,25,12,34538,37370,637,99,39,15,0,2,0,0,0,16102,17926,3338,1737.032690695725,0,1
NA1_5483432677,2089,CLASSIC,23,23,42,74603,141160,1135,260,83,28,0,9,2,0,2,62999,66316,11840,2142.738152225945,1,23,23,50,67231,132606,1041,201,83,24,0,5,3,0,1,56148,67999,8454,1931.0004786979414,0,1
NA1_5483417848,1473,CLASSIC,18,28,16,47260,58113,793,109,45,11,0,2,0,0,0,29685,21442,6984,1925.0509164969449,0,28,18,29,57287,104995,894,129,52,13,0,10,3,1,2,40860,58367,5760,2333.4826883910387,2,0
NA1_5483399623,1745,CLASSIC,22,33,29,54403,108856,836,179,76,9,0,2,1,2,0,64265,37676,6911,1870.5902578796563,0,33,22,56,65720,133581,973,231,94,24,0,5,3,1,0,76137,44904,12535,2259.7134670487108,1,0
NA1_5483387995,1350,CLASSIC,34,16,34,54461,100255,765,113,51,9,0,10,1,3,1,47742,45396,7114,2420.488888888889,3,16,34,26,44897,68757,696,97,44,9,0,1,1,0,0,41919,22629,4204,1995.4222222222222,0,1
NA1_5482809922,1334,CLASSIC,31,8,39,53070,75569,809,160,66,21,0,7,1,1,0,35561,36314,3692,2386.9565217391305,1,8,31,12,35294,49975,542,160,66,19,0,0,0,0,0,19838,27144,2987,1587.4362818590705,0,1
NA1_5482782242,1583,CLASSIC,41,11,75,63043,136368,844,128,48,10,0,10,1,0,0,88089,42266,6007,2389.500947567909,2,11,41,16,44949,80887,768,137,59,8,0,1,1,0,0,38221,38725,3939,1703.689197725837,0,1
NA1_5482764468,1124,CLASSIC,23,0,28,42546,55992,715,77,37,4,0,6,1,2,0,22504,32201,1285,2271.138790035587,1,0,23,0,28885,30401,595,88,45,5,0,1,1,0,0,15318,14468,612,1541.9039145907473,0,1
NA1_5482732860,2092,CLASSIC,36,20,64,77271,129565,1077,248,74,43,0,10,5,3,2,47597,71898,10064,2216.1854684512427,4,20,36,32,67851,105302,1077,261,109,31,0,4,0,0,0,37746,58272,9280,1946.0133843212236,0,1
NA1_5482708703,1599,CLASSIC,26,17,36,59866,75073,909,207,57,23,0,8,3,1,1,42653,27420,4996,2246.378986866792,1,17,26,28,50144,66124,875,177,80,14,0,0,1,0,0,32195,30579,3349,1881.5759849906192,0,1
NA1_5482686973,1890,CLASSIC,41,43,60,72148,115959,914,218,81,28,0,9,0,2,1,62376,46808,6770,2290.4126984126983,3,43,42,65,70458,144139,932,193,88,24,0,7,4,1,0,41003,82579,20550,2236.7619047619046,1,1
NA1_5482660389,1341,CLASSIC,6,28,9,35992,40538,642,123,53,13,0,0,0,0,0,23024,15572,1935,1610.380313199105,0,28,6,33,53674,79631,822,143,58,15,0,10,3,1,1,39006,37945,2677,2401.5212527964204,2,0
NA1_5482637900,1499,CLASSIC,8,15,11,41495,45132,808,125,42,16,0,0,1,0,0,5910,37132,2086,1660.907271514343,0,15,8,22,54540,75238,948,154,71,14,0,10,3,1,3,22079,49600,3553,2183.055370246831,1,0
NA1_5482619308,1554,CLASSIC,11,27,19,46148,90647,760,147,62,16,0,1,0,0,0,49791,34575,6276,1781.7760617760619,0,27,11,48,60354,105071,885,199,85,19,0,9,3,1,3,48461,46995,9611,2330.2702702702704,1,0
